0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
6,15,0,9,8,0,10,0,20,8,0,0,0,18,21,12,11,11,10,22,22,0,11,44,0,0,0,0,0,0,0,9,10,12,18,14,0,35,25,16,25,0,29,11,10,0,13,0,25,0,12,10,0,8,0,0,15,12,0,10,8,0,0,9,11,23,12,19,21,0,0,0,8,0,22,19,15,31,21,0,0,10,7,16,13,10,22,20,23,7,11,26,0,23,0,18,9,0,27,0,
0,7,8,0,8,8,0,0,11,0,18,0,20,0,8,7,27,23,9,22,22,19,10,11,27,10,0,15,0,21,13,0,0,16,33,38,0,18,28,18,12,25,0,0,24,8,11,26,0,20,0,0,0,10,17,0,13,22,0,18,0,22,0,12,0,13,6,30,0,0,12,0,40,10,0,24,30,7,0,13,0,0,0,17,0,12,12,14,0,0,0,30,0,0,0,8,0,41,40,3,
24,9,8,19,0,19,22,9,0,21,8,30,0,0,14,0,0,17,12,11,0,13,20,34,13,21,12,0,0,20,7,23,0,15,9,10,25,23,0,0,0,27,11,8,0,22,14,24,14,0,15,0,0,0,16,9,20,12,0,35,24,8,0,0,13,11,11,8,10,49,0,38,0,0,14,0,16,0,13,14,0,10,0,0,29,25,0,19,21,0,12,14,14,0,8,0,0,0,3,7,
6,8,8,0,0,0,10,0,0,8,0,8,10,21,0,13,16,0,11,11,0,40,0,0,35,9,0,10,24,0,19,0,0,0,28,12,26,15,0,43,0,14,17,38,0,0,0,0,14,20,9,12,13,27,11,0,0,39,0,30,19,0,0,21,0,26,0,11,13,0,38,0,0,0,7,13,12,10,0,0,0,0,6,11,20,25,34,27,0,0,7,13,35,13,23,13,10,0,5,0,
0,7,8,26,0,0,0,0,30,13,30,8,12,0,11,0,0,12,29,12,0,19,0,0,24,10,0,0,13,0,12,24,29,10,9,9,28,10,0,9,10,0,0,24,0,0,20,0,15,12,0,18,21,9,29,23,14,26,41,0,11,27,8,0,11,10,52,0,0,0,10,0,31,0,11,6,7,23,0,0,43,41,26,12,0,7,0,9,9,15,10,0,18,0,10,5,0,0,0,0,
7,8,9,28,0,9,0,11,19,20,13,0,27,0,0,0,24,12,11,13,28,13,0,0,22,0,0,11,0,0,13,0,15,8,11,27,39,22,0,9,10,0,34,24,29,12,0,27,0,12,9,11,0,38,15,11,0,22,14,11,8,0,36,0,11,12,13,39,15,8,10,19,18,21,14,0,0,7,12,19,0,14,0,19,10,0,0,6,8,0,0,25,7,0,0,0,0,13,10,10,
0,6,8,28,0,17,11,0,0,0,0,17,0,13,32,19,45,14,0,0,0,22,0,9,8,0,12,0,24,11,0,14,0,20,22,30,30,0,14,11,9,0,18,16,11,11,0,9,31,12,16,10,16,7,0,11,10,0,20,0,0,0,9,0,21,0,0,15,10,0,0,22,0,0,16,0,0,22,0,16,32,24,13,0,0,27,16,16,24,17,8,11,0,19,21,17,5,28,8,0,
14,17,0,19,0,10,0,0,22,10,0,0,12,20,0,12,10,28,13,12,20,0,8,0,45,14,15,0,0,9,10,0,10,13,32,12,14,0,0,18,0,12,0,0,9,28,0,20,0,38,18,9,34,10,46,12,9,0,0,11,0,0,28,23,0,9,11,9,34,0,13,14,9,0,29,0,10,11,0,8,19,0,0,19,12,21,0,13,0,21,22,0,0,11,0,19,14,10,0,9,
15,17,9,0,0,19,8,0,20,9,20,11,15,11,0,20,12,0,9,0,0,0,0,23,0,26,30,0,13,0,22,12,0,20,21,12,43,0,13,10,0,10,0,0,0,9,0,17,21,0,0,13,10,0,0,24,0,20,17,12,21,10,36,29,0,9,18,24,11,0,11,20,0,12,11,16,0,10,0,17,30,12,0,23,23,24,0,11,7,0,0,10,8,33,0,0,16,24,6,17,
6,0,0,8,9,7,0,18,0,8,11,10,24,32,42,0,0,12,13,10,10,13,19,0,20,36,12,9,12,9,55,21,0,0,27,10,25,9,0,9,12,13,25,11,0,23,31,12,0,0,8,0,35,0,0,9,0,18,9,21,0,0,36,0,0,12,0,9,15,9,11,19,12,0,14,0,0,0,21,21,7,12,8,0,9,0,9,0,0,0,7,24,10,0,20,7,0,22,13,24,
